date,tesla
2011/01/04,0.1878
2011/01/05,0.5999
2011/01/06,3.9135
2011/01/07,1.2912
2011/01/10,0.7436
2011/01/11,-5.2373
2011/01/13,-2.7448
2011/01/14,-1.7925
2011/01/18,-0.4272
2011/01/19,-6.2793
2011/01/20,-5.8677
2011/01/21,1.8568
2011/01/24,6.2934
2011/01/25,0.7758
2011/01/26,0.2836
2011/01/27,0.6869
2011/01/28,-3.6517
2011/01/31,0.3748
2011/02/01,-0.7884
2011/02/02,0.1255
2011/02/03,-1.2949
2011/02/04,-0.7194
2011/02/07,-1.6624
2011/02/08,6.1552
2011/02/09,-5.2266
2011/02/10,0.0215
2011/02/11,0.1508
2011/02/14,-0.7312
2011/02/15,-1.0399
2011/02/16,8.275
2011/02/17,-4.5693
2011/02/18,-1.7797
2011/02/22,-5.6514
2011/02/23,-0.1829
2011/02/24,3.2066
2011/02/25,4.7936
2011/02/28,1.1859
2011/03/01,0.2093
2011/03/02,0.3342
2011/03/03,1.4155
2011/03/04,2.422
2011/03/07,-0.0401
2011/03/08,-1.1227
2011/03/09,0.2433
2011/03/10,-2.8722
2011/03/11,0.2499
2011/03/14,-3.4067
2011/03/15,-1.2903
2011/03/16,-0.5664
2011/03/17,-0.0438
2011/03/18,0.6576
2011/03/21,-1.0017
2011/03/22,-2.3757
2011/03/23,0.0901
2011/03/24,0.5403
2011/03/25,1.8809
2011/03/28,2.1978
2011/03/29,2.8817
2011/03/30,-0.8779
2011/03/31,17.0392
2011/04/01,-3.9279
2011/04/04,-3.1133
2011/04/05,3.3682
2011/04/06,-0.7865
2011/04/07,2.8313
2011/04/08,-2.7533
2011/04/11,-4.6055
2011/04/12,-2.4535
2011/04/13,1.1359
2011/04/14,0.8424
2011/04/15,1.7502
2011/04/18,-2.1501
2011/04/19,0.5194
2011/04/20,2.345
2011/04/21,3.8447
2011/04/25,-1.3089
2011/04/26,2.0462
2011/04/27,0.557
2011/04/28,2.1418
2011/04/29,-0.2169
2011/05/02,-0.5435
2011/05/03,-2.1129
2011/05/04,-0.6699
2011/05/05,-0.9367
2011/05/06,2.5719
2011/05/09,2.913
2011/05/10,1.5048
2011/05/11,-4.4476
